"","Title","Author","Format","Starts","Price","ISBN","Category","publishedDate","categories","pageCount"
"16760","Cats are Weird","Jeffrey Brown","Hardback",4,"9.67",9780811874809,"Humour","2010-07-28","Comics & Graphic Novels",110
"16761","100 Facts About Sharks","Claudia O'Doherty","Hardback",4,"11.59",9780224086769,"Humour",NA,NA,NA
"16762","So You're Going to Be a Dad, revised edition","Peter Downey","Paperback",3.5,"15.75",9780738219066,"Humour","2016-03-01","Family & Relationships",0
"16763","The Ultimate Book of Dad Jokes","Gordon Hideaki Nagai","Paperback",3,"9.53",9781612435565,"Humour","2016-05-10","Humor",208
"16764","Jemima J.","Jane Green","Paperback",3.5,"10.08",9780140276909,"Humour",NA,NA,NA
"16765","A Charlie Brown Christmas Snow Globe","Charles Schulz","Mixed media product",0,"8.96",9780762446155,"Humour","2012-09-25","Humor",0
"16766","Five Escape Brexit Island","Bruno Vincent","Hardback",3,"8.32",9781786486981,"Humour",NA,NA,NA
"16767","The Book of General Ignorance","John Lloyd","Hardback",4,"17.12",9780307394910,"Humour","2007-08-07","Humor",296
"16768","Safely Endangered Comics","Chris McCoy","Paperback",4,"10.51",9781449497163,"Humour",NA,NA,NA
"16769","The Rosie Result","Graeme Simsion","Hardback",4,"16.85",9780241388358,"Humour",NA,NA,NA
"16770","Teenagers","Boris Starling","Hardback",4,"7.49",9781785211034,"Humour","2016-11-01","Humor",0
"16771","Notes From the Upside Down - Inside the World of Stranger Things","Guy Adams","Hardback",3.5,"14.96",9781785036439,"Humour",NA,NA,NA
"16772","Good Husband Material","Trisha Ashley","Paperback",4,"9.74",9781847562814,"Humour",NA,NA,NA
"16773","How it Works: The Brother","Jason Hazeley","Hardback",4,"8.43",9780718188696,"Humour",NA,NA,NA
"16774","Pride & Prejudice & Zombies","Steve Hockensmith","Paperback",3.5,"10.8",9781594745027,"Humour",NA,NA,NA
"16775","Dad Jokes","Jimmy Niro","Paperback",3.5,"7.24",9781492675372,"Humour",NA,NA,NA
"16776","The Sex Lives of Cannibals","J. Maarten Troost","Paperback",4,"13.95",9780767915304,"Humour","2004-06-08","Biography & Autobiography",294
"16777","The Story of the Little Mole Who Went in Search of Whodunit","Werner Holzwarth","Hardback",4,"10.64",9780810944572,"Humour","2007-03-01","Humor",0
"16778","Shylock is My Name","Howard Jacobson","Paperback",3,"9.86",9780099593287,"Humour","2016-08-01","Drama",292
"16779","The Irregular at Magic High School, Vol. 10 (light novel)","Tsutomu Satou","Paperback",4.5,"10.89",9781975327163,"Humour","2018-12-18","Fiction",0
"16780","Peggy and Me","Miranda Hart","Paperback",4,"8.8",9781444769142,"Humour",NA,NA,NA
"16781","Smoke Gets in Your Eyes","Caitlin Doughty","Hardback",4,"25.25",9780393240238,"Humour",NA,NA,NA
"16782","Molesworth","Geoffrey Willans","Paperback",4.5,"11.77",9780141186009,"Humour",NA,NA,NA
"16783","The Zombie Survival Guide: Recorded Attacks","Max Brooks","Paperback",4,"15.12",9780307405777,"Humour","2009-10-06","Comics & Graphic Novels",146
"16784","Cat Versus Human","Yasmine Surovec","Paperback",4,"9.9",9781449408657,"Humour","2011-10-04","Humor",155
"16785","Milk and Honey","Rupi Kaur","Paperback",4,"8.18",9781449474256,"Mind-Body-Spirit","2015","Poetry, Canadian poetry",204
"16786","The Power of Now","Eckhart Tolle","Paperback",4,"8.2",9780340733509,"Mind-Body-Spirit","2001","Consciousness",191
"16787","The Happiness Trap","Russ Harris","Paperback",4,"8.34",9781845298258,"Mind-Body-Spirit",NA,NA,NA
"16788","Gifts Of Imperfection, The:","Brene Brown","Paperback",4,"11.8",9781592858491,"Mind-Body-Spirit","2010-08-27","Self-Help",158
"16789","Man's Search For Meaning","Viktor E. Frankl","Paperback",4.5,"9.66",9781846041242,"Mind-Body-Spirit","2008","Existential psychotherapy",0
"16790","The Body Keeps the Score","Bessel van der Kolk","Paperback",4.5,"10.99",9780141978611,"Mind-Body-Spirit","2015-09-24",NA,464
"16791","The Four Agreements","Don Miguel Ruiz","Paperback",4,"9.45",9781878424310,"Mind-Body-Spirit",NA,NA,NA
"16792","The Little Book of Mindfulness","Dr. Patrizia Collard","Paperback",4,"5.88",9781856753531,"Mind-Body-Spirit","2014-05-27","Body, Mind & Spirit",0
"16793","The Untethered Soul","Michael A. Singer","Paperback",4,"10.46",9781572245372,"Mind-Body-Spirit",NA,NA,NA
"16794","The Secret","Rhonda Byrne","Hardback",3.5,"15.02",9781847370297,"Mind-Body-Spirit",NA,NA,NA
"16795","A New Earth","Eckhart Tolle","Paperback",4,"9.72",9780141039411,"Mind-Body-Spirit","2009","Health & Fitness",277
"16796","Women Who Run with Wolves","Clarissa Pinkola Estes","Paperback",4,"8.97",9780345409874,"Mind-Body-Spirit","1996-11-27","Body, Mind & Spirit",612
"16797","The Miracle Of Mindfulness","Thich Nhat Hanh","Paperback",4,"8.66",9781846041068,"Mind-Body-Spirit",NA,NA,NA
"16798","The Mindfulness Colouring Book","Emma Farrarons","Paperback",4,"6.8",9780752265629,"Mind-Body-Spirit","2021-03-02","Art",0
"16799","Reinventing Your Life","Jeffrey E. Young","Paperback",4,"13.78",9780452272040,"Mind-Body-Spirit","1994-05-01","Self-Help",0
"16800","Can't Hurt Me","David Goggins","Paperback",4.5,"19.37",9781544512273,"Mind-Body-Spirit","2018","Athletes",364
"16801","Medical Medium Liver Rescue","Anthony William","Hardback",4,"23.76",9781401954406,"Mind-Body-Spirit","2018-10-30","Health & Fitness",0
"16802","The Daily Stoic","Ryan Holiday","Paperback",4.5,"10.61",9781781257654,"Mind-Body-Spirit",NA,NA,NA
"16803","Mindfulness","J. Mark G. Williams","Paperback",4,"12.72",9780749953089,"Mind-Body-Spirit","2011","Mind and body therapies",276
"16804","Medical Medium","Anthony William","Paperback",4,"13.44",9781781805367,"Mind-Body-Spirit","2015-11-10","Healing",392
"16805","Medical Medium Life-Changing Foods","Anthony William","Hardback",4.5,"20.3",9781401948320,"Mind-Body-Spirit",NA,NA,NA
"16806","You Can Heal Your Life","Louise Hay","Paperback",4,"11.62",9780937611012,"Mind-Body-Spirit","1984-01-01","Self-Help",246
